Time,temperature_2m,relativehumidity_2m,dewpoint_2m,windspeed_10m,windspeed_100m,winddirection_10m,winddirection_100m,windgusts_10m,Power
02-01-2017 00:00,22.7,82,18,3.21,7.6,86,90,5.3,0.3047
02-01-2017 01:00,22,82,17.4,3.4,7.92,88,94,5.7,0.3516
02-01-2017 02:00,21.7,82,17.1,3.81,8.41,87,93,6.4,0.3985
02-01-2017 03:00,21.7,85,17.8,3.7,8.26,90,97,6.4,0.4454
02-01-2017 04:00,22.4,88,19.5,3.85,8.5,81,91,6.6,0.4922
02-01-2017 05:00,22.8,90,20.4,3.59,8.12,77,86,6.5,0.49
02-01-2017 06:00,23.8,91,21.4,3.73,8,82,90,6.8,0.4386
02-01-2017 07:00,26.8,91,24.5,4.01,7.91,86,92,6.8,0.3872
02-01-2017 08:00,28.5,90,26,3.81,7.31,87,93,6.9,0.3358
02-01-2017 09:00,29.8,91,27.4,4.04,7.3,81,89,6.9,0.2844
02-01-2017 10:00,31.1,90,28.5,4.93,8.21,84,88,8.4,0.233
02-01-2017 11:00,32.8,89,29.9,4.3,7.85,91,97,8.4,0.1816
02-01-2017 12:00,34.5,86,30.8,4.3,7.07,93,98,7.8,0.1645
02-01-2017 13:00,34.8,87,31.2,4.1,7.53,89,95,7.7,0.1817
02-01-2017 14:00,34.9,86,31.2,3.91,7.1,93,100,7.1,0.1988
02-01-2017 15:00,34.1,89,31.2,3.52,6.61,83,93,6.9,0.216
02-01-2017 16:00,33.8,90,31.2,4.31,7.58,94,98,7.3,0.2331
02-01-2017 17:00,33.4,92,31.2,4.12,7.35,96,102,7.4,0.2503
02-01-2017 18:00,33.2,91,30.9,3.96,7.03,80,84,7.1,0.2477
02-01-2017 19:00,33.2,92,31.1,4.3,7.63,93,95,7.3,0.2255
02-01-2017 20:00,33.1,93,31.3,2.57,5.3,77,92,7.3,0.2033
02-01-2017 21:00,33,94,31.5,3.02,5.5,56,71,5.1,0.1811
02-01-2017 22:00,33,94,31.5,3.55,6.4,58,65,5.9,0.1589
02-01-2017 23:00,33,94,31.5,3.86,7.07,80,82,6.6,0.1366
03-01-2017 00:00,33.1,94,31.7,2.72,5.59,96,100,6.5,0.1144
03-01-2017 01:00,33,96,31.9,1.2,3.35,85,107,4.5,0.0922
03-01-2017 02:00,32.9,97,32.1,1.53,3.1,58,90,2.7,0.07
03-01-2017 03:00,32.9,97,32.2,1.34,2.46,27,63,2.7,0.0478
03-01-2017 04:00,32.7,98,32.1,1.94,2.82,348,6,3.3,0.0256
03-01-2017 05:00,32.4,98,32,2.4,4.23,358,7,4,0.0371
03-01-2017 06:00,32.3,99,32,1.5,2.72,356,6,4.3,0.0823
03-01-2017 07:00,32.1,99,31.8,2.38,3.98,338,348,3.9,0.1275
03-01-2017 08:00,31.9,99,31.6,2.51,4.43,331,342,4.2,0.1728
03-01-2017 09:00,32.1,98,31.6,3.04,5.26,316,321,5.4,0.218
03-01-2017 10:00,32.7,96,31.8,3.28,5.11,308,310,5.7,0.2633
03-01-2017 11:00,33.2,93,31.3,5.02,7.58,305,306,8.7,0.3085
03-01-2017 12:00,32.7,92,30.7,5.22,7.96,306,309,9.2,0.3753
03-01-2017 13:00,33.3,89,30.4,5.66,8.52,306,306,10.2,0.4637
03-01-2017 14:00,33,89,30.1,5.52,8.63,302,302,10.2,0.5521
03-01-2017 15:00,31.7,87,28.3,7.35,11.13,304,305,12.7,0.6405
03-01-2017 16:00,28.6,85,24.7,7.46,11.48,302,303,13.2,0.7288
03-01-2017 17:00,24.9,81,20,8.45,12.71,297,298,14.6,0.8172
03-01-2017 18:00,24.9,81,20,8.45,12.76,291,291,15.4,0.8647
03-01-2017 19:00,20.3,77,14.2,8.52,12.68,292,293,15.1,0.8712
03-01-2017 20:00,15.6,77,9.6,8.95,13.46,295,296,15.8,0.8777
03-01-2017 21:00,12.1,75,5.8,9.08,13.64,295,297,16.2,0.8842
03-01-2017 22:00,9.6,73,2.5,8.99,13.42,297,298,16.3,0.8907
03-01-2017 23:00,7.5,71,-0.1,9.58,14.1,299,299,17,0.8972
04-01-2017 00:00,6.1,70,-1.7,9.53,14.14,298,299,17.2,0.9037
04-01-2017 01:00,5.4,69,-2.5,9.21,13.78,297,298,17,0.9102
04-01-2017 02:00,5.1,69,-2.8,8.81,13.28,295,295,16.4,0.9167
04-01-2017 03:00,4.9,70,-2.7,8.15,12.67,293,294,15.8,0.9232
04-01-2017 04:00,4.8,70,-3,8.59,13.15,295,295,16.3,0.9297
04-01-2017 05:00,4.4,68,-3.9,8.72,13.1,295,296,16.5,0.9304
04-01-2017 06:00,4.9,70,-2.9,7.97,11.77,290,291,15.4,0.9254
04-01-2017 07:00,3.7,68,-4.4,8.36,12.48,291,292,14.9,0.9204
04-01-2017 08:00,2.7,67,-5.7,8.42,12.31,294,294,14.9,0.9153
04-01-2017 09:00,2.2,66,-6.7,8.29,11.91,293,294,15.2,0.9103
04-01-2017 10:00,2.4,64,-6.8,8.17,11.49,292,291,15,0.9052
04-01-2017 11:00,3.2,65,-6,8.1,11.35,288,288,15,0.9002
04-01-2017 12:00,4.3,64,-5.3,7.84,10.88,287,287,14.9,0.8776
04-01-2017 13:00,5.1,63,-4.9,7.43,10.37,287,287,14.5,0.8376
04-01-2017 14:00,5.3,62,-4.8,7.28,10.19,286,286,13.8,0.7976
04-01-2017 15:00,5.1,62,-5,6.96,10.1,286,286,13.4,0.7575
04-01-2017 16:00,4.2,64,-5.5,6.33,9.75,286,285,12.7,0.7175
04-01-2017 17:00,2.8,67,-5.7,6.1,9.99,288,288,11.4,0.6775
04-01-2017 18:00,2.5,66,-6.2,6.07,9.46,287,288,11.1,0.6407
04-01-2017 19:00,1.7,66,-6.9,5.95,9.52,287,289,10.9,0.6071
04-01-2017 20:00,0.5,66,-8.1,5.88,9.53,288,291,10.5,0.5736
04-01-2017 21:00,0.5,64,-8.8,6.05,8.96,292,294,10.9,0.54
04-01-2017 22:00,0.3,63,-9.4,5.87,8.46,293,294,10.9,0.5065
04-01-2017 23:00,-0.2,62,-10.2,6.17,8.9,295,296,11.3,0.4729
05-01-2017 00:00,-1.6,68,-9.6,5.24,8.14,294,295,11.3,0.4394
05-01-2017 01:00,-2,69,-9.7,4.97,7.87,295,296,9.6,0.4058
05-01-2017 02:00,-2.2,70,-9.7,4.68,7.54,290,292,9.1,0.3723
05-01-2017 03:00,-2.8,70,-10.1,4.37,7.53,286,287,8.6,0.3387
05-01-2017 04:00,-3.9,72,-10.6,4.24,7.75,289,290,8,0.3052
05-01-2017 05:00,-5.2,73,-11.5,3.89,7.31,288,289,7.7,0.2959
05-01-2017 06:00,-5.1,74,-11.2,3.14,6,279,281,7,0.311
05-01-2017 07:00,-6.7,75,-12.6,2.32,5.81,277,281,5.4,0.3261
05-01-2017 08:00,-6.5,74,-12.5,2.47,5.82,284,286,4.5,0.3412
05-01-2017 09:00,-4.1,72,-10.8,3.89,5.6,288,289,7.1,0.3563
05-01-2017 10:00,-2.6,68,-10.6,4.55,6.17,289,290,8.6,0.3713
05-01-2017 11:00,-1,65,-10.1,5.07,6.84,285,285,9.7,0.3864
05-01-2017 12:00,0.3,62,-9.6,5.63,7.6,287,286,10.7,0.396
05-01-2017 13:00,0.9,60,-9.6,5.98,8.1,291,290,11.2,0.4002
05-01-2017 14:00,1.2,59,-9.7,5.95,8.14,295,295,11.4,0.4044
05-01-2017 15:00,0.9,59,-10.1,5.64,7.87,297,297,11.1,0.4086
05-01-2017 16:00,0.4,59,-10.6,5.19,7.83,298,297,10.4,0.4128
05-01-2017 17:00,-1.2,63,-10.9,3.98,7.24,295,296,9.5,0.417
05-01-2017 18:00,-0.5,67,-9,4.8,7.41,301,302,7.3,0.4145
05-01-2017 19:00,-2,68,-10.1,4.34,7.39,299,300,8.6,0.4053
05-01-2017 20:00,-2.5,68,-10.5,4.21,7.34,298,299,7.9,0.396
05-01-2017 21:00,-3.2,69,-10.9,4.02,7.11,297,298,7.7,0.3868
05-01-2017 22:00,-3.7,70,-10.9,3.67,6.84,296,297,7.3,0.3775
05-01-2017 23:00,-4.2,72,-11.1,3.05,6.32,293,293,6.7,0.3683
06-01-2017 00:00,-4.8,72,-11.6,2.69,6,292,294,5.7,0.3591
06-01-2017 01:00,-5.7,72,-12.2,2.67,6.04,283,286,5.1,0.3498
06-01-2017 02:00,-6.1,73,-12.5,2.83,6.18,278,284,5.2,0.3406
06-01-2017 03:00,-7.1,74,-13.2,2.83,6.33,278,286,5.3,0.3313
06-01-2017 04:00,-8.2,74,-14.3,2.98,6.65,284,291,5.5,0.3221
06-01-2017 05:00,-8.8,73,-15.1,3.04,6.71,279,287,5.6,0.3093
06-01-2017 06:00,-7.9,75,-13.8,3.82,6.99,276,283,6.1,0.293
